,return,VaR_RM,VaR_GN,VaR_HS,VaR_EVT
101,0.5949962001033704,0.0,0.0,0.0,0.0
102,0.21796001340144144,0.0,0.0,0.0,0.0
103,-1.7215738358109967,0.0,0.0,0.0,0.0
104,0.06648808562523811,0.0,0.0,0.0,0.0
105,-0.17626424361765203,0.0,0.0,0.0,0.0
106,1.092412757452621,0.0,0.0,0.0,0.0
107,-0.9055026932520249,0.0,0.0,0.0,0.0
108,-1.5326255904424713,0.0,0.0,0.0,0.0
109,-0.8089206158762074,0.0,0.0,0.0,0.0
110,-0.8193324383004352,0.0,0.0,0.0,0.0
111,0.9579140991493595,0.0,0.0,0.0,0.0
112,0.10717920344767151,0.0,0.0,0.0,0.0
113,1.458667154777693,0.0,0.0,0.0,0.0
114,2.133209113319623,0.0,0.0,0.0,0.0
